"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149","Проверка ошибки при входе под несуществующим пользователем","tests","2026-09-18","passed","2026-09-18","TestCourierAuthNegative","test_courier_login_nonexistent_user","",""
"","88","Проверка ошибки при создании курьера без обязательного поля 'password'","tests","2026-09-18","passed","2026-09-18","TestCourierCreationNegative","test_courier_not_pasword","",""
"","99","Проверка ошибки при неверном пароле","tests","2026-09-18","passed","2026-09-18","TestCourierAuthNegative","test_courier_login_wrong_password","",""
"","17573","Проверка возврата списка заказов","tests","2026-09-18","passed","2026-09-18","TestOrdersListPositive","test_get_all_orders_returns_list","",""
"","112","Проверка создания заказа с различными вариантами цветов","tests","2026-09-18","passed","2026-09-18","TestOrderCreationPositive","test_create_order_with_different_colors","",""
"","102","Проверка ошибки при создании курьера без обязательного поля 'login'","tests","2026-09-18","passed","2026-09-18","TestCourierCreationNegative","test_courier_not_login","",""
"","84","Проверка ошибки при создании курьера с дублирующимся логином","tests","2026-09-18","passed","2026-09-18","TestCourierCreationNegative","test_dabl_login","",""
"","95","Проверка успешного создания курьера","tests","2026-09-18","passed","2026-09-18","TestCourierCreationPositive","test_create_courier","",""
"","101","Проверка создания заказа с различными вариантами цветов","tests","2026-09-18","passed","2026-09-18","TestOrderCreationPositive","test_create_order_with_different_colors","",""
"","101","Проверка создания заказа с различными вариантами цветов","tests","2026-09-18","passed","2026-09-18","TestOrderCreationPositive","test_create_order_with_different_colors","",""
"","97","Проверка создания заказа с различными вариантами цветов","tests","2026-09-18","passed","2026-09-18","TestOrderCreationPositive","test_create_order_with_different_colors","",""
"","93","Проверка успешной авторизации курьера и получения ID","tests","2026-09-18","passed","2026-09-18","TestCourierAuthPositive","test_login_courier","",""
"","95","Проверка ошибки при отсутствии обязательного поля 'login'","tests","2026-09-18","passed","2026-09-18","TestCourierAuthNegative","test_courier_mis_login","",""
